epoch,mean_loss,train_acc,val_acc
0,0.24749156176,0.483157894737,0.698391219366
1,0.212273499471,0.68,0.689370019546
2,0.201674302251,0.685263157895,0.693279206134
3,0.198740241386,0.686315789474,0.69568485942
4,0.195952311158,0.689473684211,0.695233799429
5,0.193276511411,0.693684210526,0.692076379492
6,0.19035781036,0.707368421053,0.689370019546
7,0.186463045367,0.728421052632,0.687415426252
8,0.182409578334,0.744210526316,0.671477973237
9,0.177461438134,0.748421052632,0.671778679898
10,0.172462205134,0.770526315789,0.665313486694
11,0.167707452582,0.773684210526,0.652383100286
12,0.161616883288,0.788421052632,0.641858367163
13,0.156423863339,0.8,0.64050518719
14,0.152226105332,0.811578947368,0.630882574049
15,0.146806118726,0.816842105263,0.621410314238
16,0.143127273579,0.832631578947,0.618553600962
17,0.134439703014,0.847368421053,0.6083295745
18,0.130716961887,0.855789473684,0.607277101188
19,0.123255104584,0.870526315789,0.60817922117
20,0.117387241479,0.874736842105,0.602616147948
21,0.114824797137,0.877894736842,0.597053074726
22,0.109559262708,0.882105263158,0.596000601413
23,0.106704134052,0.877894736842,0.582769508345
24,0.106251433302,0.888421052632,0.591941061495
25,0.101759153655,0.895789473684,0.592993534807
26,0.0972297858384,0.889473684211,0.58081491505
27,0.0941704581728,0.902105263158,0.595850248083
28,0.087259718359,0.906315789474,0.586227634942
29,0.0839909488746,0.917894736842,0.585776574951
30,0.0777578019237,0.911578947368,0.574650428507
31,0.0772314253184,0.915789473684,0.569688768606
32,0.0747385494474,0.914736842105,0.562772515411
33,0.0703971552647,0.925263157895,0.571041948579
34,0.0657134850083,0.937894736842,0.572846188543
35,0.0622348280592,0.936842105263,0.572395128552
36,0.057153922995,0.944210526316,0.577507141783
37,0.0555164807366,0.949473684211,0.579762441738
38,0.0530133549503,0.953684210526,0.577657495114
39,0.0485527906883,0.961052631579,0.574199368516
40,0.0461202057047,0.945263157895,0.563524282063
41,0.0476661595453,0.950526315789,0.577356788453
42,0.0437220692856,0.969473684211,0.579461735077
43,0.0377634828121,0.958947368421,0.565929935348
44,0.0369770620334,0.966315789474,0.568335588633
45,0.0361722622745,0.962105263158,0.569388061946
46,0.0337434835353,0.974736842105,0.58051420839
47,0.0319525540917,0.969473684211,0.569087355285
48,0.0317257944281,0.972631578947,0.570741241919
49,0.0283310269282,0.98,0.577807848444
50,0.0260824545255,0.970526315789,0.58081491505
51,0.0435424982333,0.934736842105,0.548639302361
52,0.0493799337991,0.956842105263,0.576605021801
53,0.0420369461289,0.96,0.570891595249
54,0.0324677372651,0.971578947368,0.572996541873
55,0.0290852463844,0.975789473684,0.572846188543
56,0.0241150047662,0.974736842105,0.575552548489
57,0.0229612236006,0.978947368421,0.581867388363
