diseased, loc_id, longitude, latitude, date, solar_zenith, state_qa, view_zenith, sr_b01, sr_b02, sr_b03, sr_b04, sr_b05, sr_b06, sr_b07
1, 49863, 42.02219, 9.24969, 10/31/12 0:00, 3246, 72, 4228, 1317, 3168, 605, 1050, 4118, 3059
1, 49864, 42.02219, 9.24969, 10/31/12 0:00, 3246, 72, 4228, 1317, 3168, 605, 1050, 4118, 3059
1, 49865, 42.02219, 9.24969, 11/24/12 0:00, 3452, 72, 480, 1291, 2620, 517, 917, 3282, 2914
1, 48270, 42.02199, 9.25178, 11/17/10 0:00, 3332, 72, 426, 1076, 2583, 439, 792, 3220, 2841
1, 48271, 42.02199, 9.25178, 11/17/10 0:00, 3332, 72, 426, 1076, 2583, 439, 792, 3220, 2841
1, 48272, 42.02199, 9.25178, 11/17/10 0:00, 3332, 72, 426, 1076, 2583, 439, 792, 3220, 2841
1, 48273, 42.02199, 9.25178, 11/17/10 0:00, 3332, 72, 426, 1076, 2583, 439, 792, 3220, 2841
1, 48274, 42.02199, 9.25178, 11/17/10 0:00, 3332, 72, 426, 1076, 2583, 439, 792, 3220, 2841
1, 46164, 41.95143, 9.41693, 11/19/08 0:00, 3300, 72, 920, 476, 1169, 265, 493, 999, 646
0, 48506, 41.8387, 9.4476333, 11/9/11 0:00, 3134, 72, 802, 1070, 2207, 437, 816, 2825, 2215
0, 48505, 41.8386667, 9.4476, 11/9/11 0:00, 3134, 72, 802, 1070, 2207, 437, 816, 2825, 2215
0, 48508, 41.8337, 9.4478333, 11/9/11 0:00, 3134, 72, 802, 990, 2015, 432, 796, 2462, 2093
0, 48524, 41.8138333, 9.20825, 11/14/11 0:00, 3113, 72, 830, 687, 2433, 329, 637, 2682, 1610
1, 48531, 41.8137833, 9.1315167, 11/15/11 0:00, 3106, 72, 857, 627, 2269, 296, 614, 2416, 1615
0, 48523, 41.8136333, 9.23425, 11/14/11 0:00, 3116, 72, 830, 750, 2605, 335, 739, 2724, 1693
0, 48525, 41.8133667, 9.2342, 11/14/11 0:00, 3116, 72, 830, 750, 2605, 335, 739, 2724, 1693
0, 48528, 41.81225, 9.2313167, 11/15/11 0:00, 3115, 72, 831, 709, 2333, 368, 688, 2360, 1525
0, 48526, 41.8008167, 9.2067, 11/14/11 0:00, 3114, 72, 821, 578, 2644, 299, 611, 2739, 1671
1, 48530, 41.7909833, 9.16475, 11/15/11 0:00, 3110, 72, 821, 564, 2126, 288, 562, 2245, 1454
1, 48529, 41.78825, 9.20045, 11/15/11 0:00, 3115, 72, 812, 628, 2433, 317, 609, 2624, 1701
