diseased,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07
1,252,20,142,167,535,169,310
1,257,415,195,247,352,273,296
1,40,-1730,3,-204,-1031,-528,-154
1,143,271,79,100,263,-223,-112
1,365,-266,156,200,324,254,370
1,135,137,87,101,228,-231,-116
1,167,-1348,110,0,-540,-3,293
1,-115,-925,-52,-237,-662,-661,-286
1,2751,1522,2724,2554,2153,2451,2617
1,280,-518,135,153,-292,-198,-7
1,113,-194,49,-19,-143,-33,-33
1,829,594,416,594,980,937,721
1,831,-118,437,613,553,846,742
1,-14,-677,-28,-176,-649,-551,-336
1,214,358,103,164,496,342,282
1,-3,-766,-12,-74,-394,-325,-35
1,-3,-766,-12,-74,-394,-325,-35
1,463,1507,262,460,120,863,486
1,280,703,215,284,721,566,326
1,398,956,257,402,1311,751,557
1,398,956,257,402,1311,751,557
1,296,416,105,211,443,429,355
1,397,1281,191,399,1399,895,575
1,54,-620,10,-90,-473,-256,-101
1,362,-1867,162,124,-767,-117,269
1,362,-1867,162,124,-767,-117,269
1,321,-889,174,96,-25,356,520
0,128,376,136,189,142,92,-89
1,49,-339,21,1,-268,-89,17
1,135,593,82,104,381,131,50
1,135,593,82,104,381,131,50
1,233,-501,99,88,-519,81,75
1,-68,-1216,-67,-257,-805,-552,-76
1,542,-646,668,481,-326,-39,163
1,728,227,403,535,462,643,642
0,-14,-304,6,-85,-3965,-445,-302
1,797,247,395,537,569,590,530
1,336,-159,177,245,203,425,500
0,290,364,142,155,542,367,298
1,205,119,65,84,-1007,111,70
1,41,45,-28,-53,133,-213,-83
1,245,-726,189,69,34,81,275
1,369,-644,215,264,-243,-4,216
1,238,-299,128,90,-139,244,320
1,288,-1058,90,-29,-269,90,271
1,256,-13,133,112,527,416,415
1,819,-153,398,563,112,703,688
1,-45,-1270,-30,-210,-1156,-670,-131
1,169,-621,73,-37,-288,-59,153
1,705,-275,551,530,82,519,654
1,102,-171,43,35,-227,-20,105
0,114,-69,227,59,-150,-87,3
1,267,-1429,380,146,-1322,-656,-140
1,343,-496,157,115,11,450,538
1,700,-230,214,406,728,819,866
1,299,-336,160,160,170,217,436
0,318,520,138,304,516,494,601
1,520,-511,293,290,9,441,617
1,359,-770,163,126,-285,145,343
1,423,-225,339,325,-121,251,456
1,336,749,164,302,1037,759,522
1,336,749,164,302,1037,759,522
1,479,-702,241,223,-104,450,671
0,192,319,99,198,380,271,223
1,367,-1148,93,154,-496,75,286
0,349,-90,250,278,167,137,297
